idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
0,2.0,1.1,1.6,out_of_bounds,0,51,1.275,0,,0,0.0,179.45,4.058,244.209,27.19,0,197.19
1,2.0,1.1,1.7,out_of_bounds,0,50,1.25,0,,0,0.0,179.41,4.034,238.327,20.52,0,197.19
2,2.0,1.1,1.8,out_of_bounds,0,50,1.25,0,,0,0.0,179.61,4.104,238.024,18.15,0,197.19
3,2.0,1.1,1.9,out_of_bounds,0,49,1.225,0,,0,0.0,179.26,4.028,237.713,18.21,0,197.19
4,2.0,1.1,2.0,out_of_bounds,0,49,1.225,0,,0,0.0,179.86,4.069,243.188,18.4,0,197.19
5,2.0,1.1,2.1,out_of_bounds,0,49,1.225,0,,0,0.0,179.06,4.104,249.151,18.44,0,197.19
