idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
109,0.35,0.09,0.28,timeout,0,1000,25.0,0,,0,0.0,179.86,0.354,129.786,8.9,0,197.19
110,0.35,0.09,0.32,timeout,0,1000,25.0,0,,0,0.0,179.87,0.352,119.331,8.91,0,197.19
111,0.35,0.09,0.36,timeout,0,1000,25.0,0,,0,0.0,179.75,0.382,117.337,8.91,0,197.19
112,0.35,0.11,0.08,timeout,0,1000,25.0,0,,0,0.0,179.95,0.138,1.685,8.9,0,197.19
113,0.35,0.11,0.12,success,1,890,22.25,1,9.4,500,12.5,179.88,0.175,9.371,8.9,0,197.19
114,0.35,0.11,0.16,success,1,858,21.45,1,8.85,500,12.5,179.26,0.13,14.643,8.95,0,197.19
115,0.35,0.11,0.2,timeout,0,1000,25.0,0,,0,0.0,179.77,0.337,147.35,8.9,0,197.19
116,0.35,0.11,0.24,timeout,0,1000,25.0,0,,0,0.0,179.78,0.34,157.224,8.9,0,197.19
117,0.35,0.11,0.28,timeout,0,1000,25.0,0,,0,0.0,179.89,0.429,150.89,8.92,0,197.19
118,0.35,0.11,0.32,timeout,0,1000,25.0,0,,0,0.0,179.87,0.487,141.492,8.83,0,197.19
119,0.35,0.11,0.36,timeout,0,1000,25.0,0,,0,0.0,179.93,0.427,133.232,8.9,0,197.19
120,0.35,0.13,0.08,timeout,0,1000,25.0,0,,0,0.0,179.96,0.141,1.866,8.82,0,197.19
121,0.35,0.13,0.12,timeout,0,1000,25.0,1,12.425,481,12.025,179.97,0.215,11.824,8.92,0,197.19
122,0.35,0.13,0.16,success,1,912,22.8,1,9.95,500,12.5,179.8,0.17,17.521,8.81,0,197.19
123,0.35,0.13,0.2,timeout,0,1000,25.0,0,,0,0.0,179.58,0.316,158.385,8.92,0,197.19
124,0.35,0.13,0.24,timeout,0,1000,25.0,1,21.975,44,1.1,179.92,0.516,141.19,8.81,0,197.19
125,0.35,0.13,0.28,timeout,0,1000,25.0,0,,0,0.0,179.94,0.523,154.352,8.75,0,197.19
126,0.35,0.13,0.32,timeout,0,1000,25.0,0,,0,0.0,179.77,0.449,151.152,8.91,0,197.19
127,0.35,0.13,0.36,timeout,0,1000,25.0,0,,0,0.0,179.83,0.549,135.266,8.79,0,197.19
128,0.35,0.15,0.08,timeout,0,1000,25.0,0,,0,0.0,179.99,0.145,2.117,8.79,0,197.19
129,0.35,0.15,0.12,timeout,0,1000,25.0,1,16.825,323,8.075,179.81,0.122,13.488,9.07,0,197.19
