idx,cartmass,polemass,polelength,outcome,success,steps,duration_s,reached_upright,time_to_upright_s,longest_balance_steps,longest_balance_s,peak_theta_dev_deg,peak_abs_x_m,control_effort,mean_infer_ms,n_errors,theta0_deg
29,0.3,0.11,0.28,timeout,0,1000,25.0,1,20.025,182,4.55,179.83,0.579,112.014,16.06,0,197.19
30,0.3,0.11,0.32,out_of_bounds,0,707,17.675,1,15.1,0,0.0,179.91,4.079,115.965,15.69,0,197.19
31,0.3,0.11,0.36,timeout,0,1000,25.0,0,,0,0.0,179.97,0.509,114.885,15.53,0,197.19
32,0.3,0.13,0.08,timeout,0,1000,25.0,0,,0,0.0,179.93,0.155,2.631,14.71,0,197.19
33,0.3,0.13,0.12,success,1,919,22.975,1,10.225,500,12.5,179.18,0.142,12.562,16.07,0,197.19
34,0.3,0.13,0.16,out_of_bounds,0,757,18.925,1,14.65,0,0.0,179.93,4.007,259.024,14.3,0,197.19
35,0.3,0.13,0.2,timeout,0,1000,25.0,1,14.425,422,10.55,179.97,0.315,65.693,15.82,0,197.19
36,0.3,0.13,0.24,out_of_bounds,0,600,15.0,1,13.625,0,0.0,179.71,4.003,137.657,15.25,0,197.19
37,0.3,0.13,0.28,out_of_bounds,0,776,19.4,1,16.85,0,0.0,179.83,4.001,183.194,14.16,0,197.19
38,0.3,0.13,0.32,timeout,0,1000,25.0,0,,0,0.0,179.58,0.662,127.176,15.23,0,197.19
39,0.3,0.13,0.36,timeout,0,1000,25.0,0,,0,0.0,179.82,0.563,110.551,15.58,0,197.19
40,0.3,0.15,0.08,timeout,0,1000,25.0,0,,0,0.0,179.98,0.16,3.052,15.73,0,197.19
41,0.3,0.15,0.12,out_of_bounds,0,584,14.6,1,11.575,0,0.0,179.62,4.097,224.728,15.23,0,197.19
42,0.3,0.15,0.16,timeout,0,1000,25.0,1,14.325,424,10.6,179.98,0.264,60.192,14.55,0,197.19
43,0.3,0.15,0.2,timeout,0,1000,25.0,1,13.85,443,11.075,179.92,0.243,58.51,15.07,0,197.19
44,0.3,0.15,0.24,out_of_bounds,0,689,17.225,1,15.975,0,0.0,179.81,4.034,118.17,16.76,0,197.19
45,0.3,0.15,0.28,timeout,0,1000,25.0,0,,0,0.0,179.88,0.376,94.093,15.25,0,197.19
46,0.3,0.15,0.32,out_of_bounds,0,984,24.6,1,23.475,0,0.0,179.86,4.04,174.959,15.49,0,197.19
47,0.3,0.15,0.36,timeout,0,1000,25.0,0,,0,0.0,179.75,0.589,102.693,15.32,0,197.19
48,0.3,0.17,0.08,timeout,0,1000,25.0,0,,0,0.0,179.82,0.167,3.54,15.73,0,197.19
49,0.3,0.17,0.12,out_of_bounds,0,689,17.225,1,12.5,0,0.0,179.95,4.137,235.18,13.59,0,197.19
50,0.3,0.17,0.16,timeout,0,1000,25.0,1,13.025,476,11.9,179.86,0.234,49.596,14.68,0,197.19
51,0.3,0.17,0.2,out_of_bounds,0,710,17.75,1,14.625,0,0.0,179.89,4.117,302.731,15.3,0,197.19
52,0.3,0.17,0.24,timeout,0,1000,25.0,0,,0,0.0,179.82,0.599,77.226,14.66,0,197.19
53,0.3,0.17,0.28,timeout,0,1000,25.0,0,,0,0.0,179.85,0.375,90.24,14.49,0,197.19
54,0.3,0.17,0.32,out_of_bounds,0,964,24.1,1,23.275,0,0.0,179.99,4.333,173.657,15.32,0,197.19
55,0.3,0.17,0.36,timeout,0,1000,25.0,0,,0,0.0,179.99,0.597,96.557,15.35,0,197.19
56,0.3,0.19,0.08,timeout,0,1000,25.0,0,,0,0.0,179.97,0.176,4.068,14.83,0,197.19
57,0.3,0.19,0.12,success,1,986,24.65,1,11.775,500,12.5,179.35,0.187,19.192,14.47,0,197.19
58,0.3,0.19,0.16,out_of_bounds,0,565,14.125,1,12.625,0,0.0,179.68,4.126,85.442,16.47,0,197.19
59,0.3,0.19,0.2,out_of_bounds,0,758,18.95,1,14.375,0,0.0,179.93,4.154,278.13,13.25,0,197.19
60,0.3,0.19,0.24,timeout,0,1000,25.0,0,,0,0.0,179.99,0.523,109.792,16.36,0,197.19
61,0.3,0.19,0.28,timeout,0,1000,25.0,0,,0,0.0,179.82,0.387,89.142,15.16,0,197.19
62,0.3,0.19,0.32,timeout,0,1000,25.0,0,,0,0.0,179.98,0.598,107.306,14.69,0,197.19
63,0.3,0.19,0.36,timeout,0,1000,25.0,0,,0,0.0,179.95,0.761,94.648,15.41,0,197.19
64,0.3,0.21,0.08,timeout,0,1000,25.0,0,,0,0.0,179.92,0.186,4.591,15.02,0,197.19
65,0.3,0.21,0.12,success,1,944,23.6,1,11.0,500,12.5,179.57,0.209,20.042,15.39,0,197.19
